job_title,skill_required,location,link
Posicionesanalista BMC-SBGM Consulting,"Organización procesos, Levantamientos definiciones procesos modelos de control, Implantaciones, Soporte implementaciones (definiciones funcionales, certificaciones, UATs,), Gestión cambio, Project Management",Málaga,2022-page3.pdf
Gradopreferenciaaquellos área ingeniería negocios siendo valorable formación posterior (Máster),"Se valorará acreditar experiencia profesional, Buenas soft skills o buena capacidad comunicativa, relación niveles, proactivo, miedo cambio, orientado objetivos, Buenas habilidades ofimáticas (Excel PowerPoint), Necesario buen nivel inglés (C1)",,2022-page3.pdf
Engineering Services Group International,Electronics,"Tunis, Tunisia",ACTIA-page1.pdf
R&D automotive center,Software and Electronics development,"Tunis, Tunisia",ACTIA-page1.pdf
Mechanical and electronics design,Mechanics and electronics design,"Tunis, Tunisia",ACTIA-page1.pdf
"Product validation, qualification and certification","Product validation, qualification and certification","Tunis, Tunisia",ACTIA-page1.pdf
Conception et implémentation d'un système de gestion de batteries Lithium-ion pour vélo électrique,"Comprendre les notions théoriques de base du BMS, Configurer un circuit intégré d'estimation des SOC/SOH, Rédiger un document de conception, Contrôler le circuit intégré via un microcontrôleur STM32, Tester et valider les résultats obtenus, Comparer les résultats avec une solution existante",ARIANA,ACTIA-page10.pdf
CONCEPTION ET IMPLEMENTATION D'UNE PASSERELLE RTOS/LINUX SOUS IMX64 A 6 MOIS,COMPRENDRE LES NOTIONS THEORIQUES DE BASE RTOS,ARIANA,ACTIA-page11.pdf
DÉVELOPPER DES PROCESS LINUX QUI COMMUNIQUENT ENTRE EUX VIA IPC,ENVOYER LES DONNEES UTILES VERS UN SERVEUR WEB,ARIANA,ACTIA-page11.pdf
OPTIMISATIONDUBANCDEQUALIFICATIONE-BIKEETPROGRAMMATIONDESPROFILS,"LANGAGESDEPROGRAMMATION:LABVIEW,LABVIEWREALTIME,COM-PACTRION",ARIANA,ACTIA-page12.pdf
RTOS developer,"C/C++, Assembly, RTOS, ARM, STM32CubeMX, IAR","Ariana, Tunisia",ACTIA-page13.pdf
Migration feasibility study internship,"Autosar documentation and analysis, architecture comparison between BSP and Autosar, migration solution proposal, implementation demonstration","Ariana, Tunisia",ACTIA-page14.pdf
Embedded software development internship,"Hardware knowledge: ECU/SONDE IC5000/Power supply, programming languages: C, development tools: Eclipse/WinIDEA/GHS compiler",,ACTIA-page14.pdf
Automotive Embedded Systems Engineer,"familiarity with the CAN communication protocol, understanding of the CANopen protocol, experience in implementing solutions on a slave calculator","Ariana, Tunisia",ACTIA-page15.pdf
Implémentation d'un driver ADC externe,"langages de programmation: C embarqué, outils de développement: Cube IDE ","Ariana, Tunisie",ACTIA-page16.pdf
Développeur système embarqué,Connaissances en cartes STM32 et en système RTOS,"Ariana, Tunisia",ACTIA-page17.pdf
Développeur d'Intelligence Artificielle,"Python Orienté Objet, Algorithmes d'IA (YOLO, DARKNET), Docker, Robot Framework","Ariana, Tunisie",ACTIA-page18.pdf
Digital Management Procedure Developer,"Python, Object Oriented Programming, AI Algorithm (YOLO, Darknet), Docker, Robot Framework",PFE-16,ACTIA-page19.pdf
Implémentation d'une plateforme de contrôle à distance des données climatiques d'une ferme,"Connaissance en acquisition de données à partir de capteurs, mémoire flash, systèmes de fichiers, développement Android, langage C, SQL, TestStand, LabWindowsCVI, bases de données",PFE-17,ACTIA-page20.pdf
Analyse et amélioration du driver ADC de la carte STM32,"Connaissance en analyse et amélioration de drivers EMMC, support de la version 4.0 du standard Http, développement Android, langage C, SQL, TestStand, LabWindowsCVI, bases de données",PFE-17,ACTIA-page20.pdf
Configuration à Distance des IPs STM32,"C/C++, HTML, Android, Java, STM32CubeMX, STM32CubeIDE",PFE-18,ACTIA-page21.pdf
Trusted Firmware Implementation,"C/C++, STM32, UI Development",Ariana,ACTIA-page22.pdf
Firmware Update Module Implementation,"C/C++, Over-the-air (OTA) Updating, Ethernet, SD Card, Cloud Technology, Android Application Development",,ACTIA-page22.pdf
Définition et création d'une architecture logicielle sous LabVIEW,"C, SQL, TestStand, LabVIEW, base de données",Ariana,ACTIA-page24.pdf
DÉVELOPPEMENT D'UN TESTEUR DE TÉLÉCHARGEMENT GÉNÉRIQUE ET COMPACT POUR LA PRODUCTION DE CARTES ÉLECTRONIQUES,"C, TESTSTAND, LABVIEW, BASE DE DONNÉE",ARIANA,ACTIA-page25.pdf
Realization of an IHM module for the command of an embedded video transmission system of a train,"C/C++, STM32CUBEMX, STM32CUBEIDE",Ariana,ACTIA-page26.pdf
CONCEPTION ET DÉVELOPPEMENT D'UN SIMULATEUR SOME/IP ET CAN,"C++, QT, LINUX, SOME/IP, CAN",SFAX,ACTIA-page27.pdf
MISE EN PLACE D'UN OUTIL EN QT C++ SOUS LINUX,"C++, QT, LINUX",SFAX,ACTIA-page27.pdf
Software Developer,"Proficient in C programming language, Knowledge of CAN and Ethernet protocols, Experience in developing embedded systems, Familiarity with cyclic and pay-load configurations","SFAX, Tunisia",ACTIA-page28.pdf
Internship,Resume with relevant skills,Tunisia,ACTIA-page29.pdf
Stage PFE 4-6 mois,développement d'un système d'info-divertissement sur une image AGL (Automotive Grade Linux),,ACTIA-page4.pdf
Développement d’un module kernel pour un module radio hardware,"langages de programmation : C, Bash, Yocto",,ACTIA-page4.pdf
Développement d’une application graphique pour ce système d’info de divertissement,"langages de programmation : C, Bash, Yocto",,ACTIA-page4.pdf
Implémentation des fonctionnalités (Bluetooth + Wifi + GPS),"langages de programmation : C, Bash, Yocto",,ACTIA-page4.pdf
Compétences requises,"langages de programmation : C, Bash, Yocto",,ACTIA-page4.pdf
DÉVELOPPEMENT D’UN OUTIL DE DIAGNOSTIC AVEC INTERFACE GRAPHIQUE PERMETTANT DE COMMUNIQUER AVEC UN CALCULATEUR AUTOMOBILE EMBARQUÉ DE TÉLÉMATIQUE(TCU),"LANGAGES DE PROGRAMMATION: PYTHON, C, BASH, YOCTO AUTRE: STANDARD UDS",ARIANA,ACTIA-page5.pdf
DESCRIPTION PFE-2,"LANGAGES DE PROGRAMMATION: PYTHON, C, BASH, YOCTO AUTRE: STANDARD UDS",INCONNU,ACTIA-page5.pdf
Développeur(se) solution de débogage OTA,"Langages de programmation: Web(PHP, HTML, ...), C",Ariana,ACTIA-page6.pdf
GPS tracking system developer,"Linux, C, C++, QT",France,ACTIA-page7.pdf
Electronics Software Developer,"C programming language, Chora, Structured Text",France,ACTIA-page8.pdf
Embedded Wizard Developer,"Embedded Wizard, Eclipse, Strato, PCAN Explorer",France,ACTIA-page8.pdf
AUTONOMIE DE CONDUITE,"DRIVERS DES CAPTEURS, FIRMWARE INTEGRATION, SYSTEM VALIDATION PLAN",ARIANA,ACTIA-page9.pdf
APPORT DE VALIDATION,"C/C++, QT, MATLAB/SIMULINK, STM32CUBEIDE, QT CREATORTOR IDE, SAEJ3016, DOMAIN KNOWLEDGE, DESCRIPTIVE DV, PFE-6",,ACTIA-page9.pdf
Ingénieur datascience,"Dématérialisation documents, Datalab, MinIO, Pytesseract, Opencv, Kafka, Python, sparkNLP",France,Addin-page10.pdf
Ingénieur MLOps,"Mise place’solution opérations de Machine Learning (MLOps), Docker, Kubernetes, Git, Neptune, KubeFlow, MLFlow, Datalab",,Addin-page11.pdf
stagiaire ingénieur MLOps,"Veille technologiqueplateformes MLOps, Gestion cycle vie modèles ML, Optimisation entraînement modèles ML grande échelle (tracking, versionning, automatisation), Mise place stratégies conformité intégrées pipelines CI/CD, Mise production modèles, Surveillance performances modèles (Monitoring), Technologies & Méthodologies",,Addin-page11.pdf
Modéliser enrichir data Lake data Warehouse projets,Mise place stratégie ETL. Garantir fiabilité continuité données. Mettre place tableaux bord développer indicateurs performance (KPI) suivi activité.,France,Addin-page12.pdf
Ingénieur business intelligence (BI),Mise place architecture de stockage ETL. Microsoft SSISSQL Server Power BI Datalab,France,Addin-page12.pdf
Ingénieur données(dataengineer),"Mise en place d’architecture ingénierie, Technologies & Méthodologies Spark, Kubernetes, Docker, Grafana, Python, Hadoop, GIT, MinIO, Sqoop, Suite elk, Flume, Datalab",Stage9_2023@addinn-group.com,Addin-page13.pdf
Quality Assurance,"Sélénium, MSTest, gitlab, CI/CD, NUnit, Kubernetes, C#, XUnit",Unspecified location,Addin-page14.pdf
Study of the impact of teleworking on the mental health of employees and on team dynamics and performance,"recovery, analysis, proposal development",,Addin-page15.pdf
Project description: 4-6 month project,human resource management,,Addin-page15.pdf
"Participation in the coordination, benchmarking, implementation of communication of our initiatives in quality of life at work for our employees (professional equality, work environment, corporate sports, transportation, diversity)","coordination, benchmarking, communication, quality management, environmental management, sports management, transportation management, diversity management, RSE, HR",unspecified,Addin-page16.pdf
Intervention on other RSE themes impacting employee engagement,"RSE, employee engagement",unspecified,Addin-page16.pdf
Participation in monitoring innovative HR practices to feed the company's reflection on its issues,"HR, innovation management",unspecified,Addin-page16.pdf
Development of an RSE approach with a focus on the HR component,"RSE, HR, project management",unspecified,Addin-page16.pdf
Marketing Project Description,"Qualitative/Quantitative research, Market evaluation, Analyzing market potential, Digital marketing",,Addin-page17.pdf
Digital Marketing Strategist,"Benchmarking, digital marketing roadmap, content strategy, SEO, editorial planning, social media management, collaboration with designers and web developers",,Addin-page18.pdf
Marketing Master,"Digital marketing, branding, marketing strategy, commercial marketing",,Addin-page18.pdf
CONSEIL MÉTIER ET TECHNIQUE DIGITAL & SOFTWARE FACTORY,"Stratégie d'internationalisation et de filialisation, accompagnement marketing",France/Tunisie,Addin-page2.pdf
ADDINN FRANCE,Implémentation de solutions digitales et nouvelles technologies,France,Addin-page2.pdf
ADDINN TUNISIE,ETL et mise en oeuvre des solutions digitales,Tunisie,Addin-page2.pdf
Elaboration stratégie Branding/marketing digital pour une nouvelle application web/mobile,Marketing,stage16_2023@addinn-group.com,Addin-page20.pdf
DevOps,"Continuous Integration, Continuous Deployment, Continuous Testing, Infrastructure as code, GIT, DOCKER, KUBERNETES, HELM, VELERO, AWS, MICROSOFT AZURE, CISCO ARGO, YAML, LINUX, BASH, SONARQUBE, NEXUS REPOSITORY PROX, MAX, WINDOWS SERVER, AZURE DEVOPS",,Addin-page5.pdf
Automatisation provisionnement et administration clusters Kubernetes,"Ansible, Kubernetes, Packer, Docker, Helm, Gitlab-CI",,Addin-page6.pdf
Devops,"Ansible, Kubernetes, Packer, Docker, Helm, Gitlab-CI",,Addin-page6.pdf
Développeur .NET,BackendDotnet,addinn-group.com,Addin-page9.pdf
Designer UX/UI,DesignerUX/UI,addinn-group.com,Addin-page9.pdf
Développeur Frontend,FrontendAngular,addinn-group.com,Addin-page9.pdf
Scrum Master,ScrumMaster,addinn-group.com,Addin-page9.pdf
Undefined,Undefined,Undefined,AIVENTU-page1.pdf
À PROPOS DE AIVEN,Undefined,Undefined,AIVENTU-page1.pdf
COMMENT POSTULER?,Undefined,Undefined,AIVENTU-page1.pdf
CATALOGUE DES SUJETS PFE AIVEN,Undefined,Undefined,AIVENTU-page1.pdf
Mobile application designer and developer,C#,France,AIVENTU-page10.pdf
Mobile application designer and developer,SQL Server,France,AIVENTU-page10.pdf
Mobile application designer and developer,Dynamics365,France,AIVENTU-page10.pdf
Mobile application designer and developer,PowerApps,France,AIVENTU-page10.pdf
Stagiaire,".NET Core, Angular, Benchmark, algorithmes OCR, GIT, Python, IA, SQL Server",,AIVENTU-page14.pdf
Stagiaire,"4-6 Mois, Développement d'une application Microsoft PowerApps, composants personnalisables, basées sur langage TypeScript, Prise en main Microsoft PowerApps, Analyse besoin, Conception solution cible, Développement mise en place solution, méthodologie Agile Scrum, TypeScript, Microsoft PowerApps, Microsoft Dataverse",,AIVENTU-page16.pdf
"Functional topics of the module ""Project Accounting"" in Dynamics 365 Finance Operations","Analytical skills, knowledge of Project Accounting in Dynamics 365 Finance Operations",,AIVENTU-page17.pdf
"Functional topics of the module ""Quality Management"" in Dynamics 365 Finance Operations","Analytical skills, knowledge of Quality Management in Dynamics 365 Finance Operations",,AIVENTU-page17.pdf
Real and projected financial analysis of a company through Microsoft Dynamics 365 Finance and Operations,"Analytical skills, knowledge of Microsoft Dynamics 365 Finance and Operations",,AIVENTU-page17.pdf
"Functional topics of the module ""Asset Leasing"" in Dynamics 365 Finance Operations","Analytical skills, knowledge of Asset Leasing in Dynamics 365 Finance Operations",,AIVENTU-page17.pdf
Functionality analysis project module,"Process modeling, functional documentation preparation, Dynamics 365 Supply Chain Management, ERP project management, Dynamics 365 Finance Operations",,AIVENTU-page18.pdf
Functional analyst intern,"Process modeling, functional documentation preparation, Dynamics 365 Supply Chain Management, ERP project management, Dynamics 365 Finance Operations",,AIVENTU-page18.pdf
Internship,"Functional analysis, Process modeling, Document preparation, Solution parameterization, Supply Chain Management, Quality management, ERP, Dynamics 365",,AIVENTU-page19.pdf
Internship,"Planning, Process modeling, Quality management",Aiventu,AIVENTU-page20.pdf
Quality Management Manager,"Quality Management, ISO 9001, Internal audit",Aiventu,AIVENTU-page20.pdf
Process Modeling and Functional Document Preparation Intern,"Process modeling, functional documents, financial analysis",Unspecified,AIVENTU-page21.pdf
Implementation of Microsoft Dynamics 365 Finance and Operations,"Accounting, Financial analysis, Microsoft Dynamics 365 Finance and Operations",Unspecified,AIVENTU-page21.pdf
Human Resources Manager,Experience in managing human resources,Europe/Africa,AIVENTU-page3.pdf
ERP Consultant,Expertise in ERP implementation and management,Europe/Africa,AIVENTU-page3.pdf
Retail Manager,Experience in retail management,Europe/Africa,AIVENTU-page3.pdf
Chemical Engineer,Degree in Chemical Engineering,Europe/Africa,AIVENTU-page3.pdf
IT Consultant,Experience in implementing Microsoft Dynamics,Europe/Africa,AIVENTU-page3.pdf
Specialist in Microsoft Technologies,NET/Angular/PowerPlatform/Microsoft BI,,AIVENTU-page5.pdf
Conception’machine’insertionautomatiquechangementautomatiquegabarits,"Analyse, choix catégories(utilité, design, puissance), étude faisabilité, choix techniques solutions, Analyse risques, Conception validation simulation numérique, Mise plan différente pièces, Solides compétences mécatronique, Connaissances Solidworks, Factory I/O, bonne capacité d'organisation communication, Rigoureux autonome",,AS2E AUTOMATION-page10.pdf
Etude conception machine vissage changeur outil automatique,"Mécatronique, Connaissances Solidworks, FactoryI/O",,AS2E AUTOMATION-page11.pdf
"Mission: Analyse choix catégories (utilité, design, puissance)","Étude faisabilité, Choix techniques solutions, Analyser risques, Conception validation simulation numérique, Mise plan différentes pièces",,AS2E AUTOMATION-page11.pdf
Réf: AS2E-PFE-2211-09,"Solides compétences mécatronique, Connaissances Solidworks, FactoryI/O, Bonne capacité d'organisation communication",Machines Spéciales,AS2E AUTOMATION-page11.pdf
Etude conception machines - assemblage plateau tournant,"Analyse, choix catégories (utilité, design, puissance…), Etude faisabilité, choix techniques solutions, Analyse risques, Conception validation simulation numérique, Mise plan différentes pièces",,AS2E AUTOMATION-page12.pdf
Réf:AS2E-PFE-2211-10,"Solides compétences mécatronique, Connaissances Solidworks, Factory I/O, Passionné, bonne capacité d'organisation et communication, Rigoureux, autonome",Machines Spéciales,AS2E AUTOMATION-page12.pdf
"Etude conception machine d'emballage verticale, remplissage scellage","Solidworks, Factory I/O, mechatronics",,AS2E AUTOMATION-page13.pdf
Profil recherché: Réf: AS2E-PFE-2211-11 Département: Machines Spéciales Durée: 4 mois,Solides compétences mécatronique,,AS2E AUTOMATION-page13.pdf
Issu d'une formation d'école d'ingénieurs,"Passionné, bonne capacité d'organisation communication, Rigoureux autonome",,AS2E AUTOMATION-page13.pdf
Etude conception imprimante 3D 5 axes,"Connaissances SolidWorks, compétences mécatronique, développement informatique, passionné, bonne capacité d'organisation et de communication, rigoureux, autonome",,AS2E AUTOMATION-page14.pdf
Réf: AS2E-PFE-2211-12,"Solides compétences mécatronique, développement informatique, Connaissances SolidWorks, Passionné, bonne capacité d'organisation, communication, Rigoureux, autonome","Département: Machines Spéciales, Durée: 4 mois, Issu d'une formation d'école d'ingénieurs",AS2E AUTOMATION-page14.pdf
Automation Systems,industrial automation,France,AS2E AUTOMATION-page2.pdf
Energy Efficiency,energy management,France,AS2E AUTOMATION-page2.pdf
Automation,automation and control engineering,France,AS2E AUTOMATION-page2.pdf
Développement d’application de gestion d'Energie basée plateforme TIAPORTAL,"Solides connaissances TIAPORTAL (WinccStep7), bonnemaitrise des langages de programmation, connaissances des applications web, bonne capacité d'organisation et de communication, rigoureux et autonome",,AS2E AUTOMATION-page3.pdf
Gestion communication ModbusRTU automate compteur d'énergie électrique,"Connaissances en communication ModbusRTU, supervision de données énergétiques instantanément, analyse de données collectées sous forme de DASHBOARD (KPI)",,AS2E AUTOMATION-page3.pdf
Conception création pages web utilisant webserver’automate S7-1200 pour la supervision variables process: visualisation instantané; courbefonctiontemps...,"Bonne maîtrise des langages de programmation, connaissances des applications web",,AS2E AUTOMATION-page3.pdf
Acquisition données énergétiques ARDUINO/STM32 envoi vers une application web mobile,Bonne maitrise des langages de programmation d'applications web mobile,Automatisme,AS2E AUTOMATION-page5.pdf
Mission Acquisition données énergétiques compteur divisionnaire électrique Arduino/STM32 création d'application web supervision données création d'application Mobile supervision données,"Issu d'une formation d'école d'ingénieurs, Bonne maitrise des langages de programmation d'applications web mobile, Bonne maitrise logiciels programmation ARDUINO/STM32, Bonne capacité d'organisation et communication, Rigoureux, autonome",Automatisme,AS2E AUTOMATION-page5.pdf
Contrôle commande servomoteurs - Étude programmation synchronisation software,"TIAPortal (Wincc), Step7, Automate Siemens S7-1500",,AS2E AUTOMATION-page6.pdf
Réalisation supervision HMI KTP1200,"TIAPortal (Wincc), Step7, Automate Siemens S7-1500",,AS2E AUTOMATION-page6.pdf
Profil recherché,"Formation d'école d'ingénieurs, TIAPortal (Wincc), Step7, Bonne capacité d'organisation et de communication, Rigoureux et autonome",,AS2E AUTOMATION-page6.pdf
Réf,AS2E-PFE-2211-04,,AS2E AUTOMATION-page6.pdf
Département,Automatisme,,AS2E AUTOMATION-page6.pdf
Durée,4 mois,,AS2E AUTOMATION-page6.pdf
Développement d'applications supervision usine complète Siemens WinCC,"TIAPORTAL, WinccStep7",,AS2E AUTOMATION-page7.pdf
Mission: Réalisation synoptique dynamique usine,"Développement faceplates nécessaires (lecture analogique, régulation…), Gestion recettes, alarmes, courbes, archivages utilisateurs",,AS2E AUTOMATION-page7.pdf
Profil recherché,"Issu d'une formation d'école d'ingénieurs, Solides connaissances TIAPORTAL(WinccStep7), Ayant bonne capacité d'organisation communication, Rigoureux autonome",Réf:AS2E-PFE-2211-05Département: ProcessControlDurée: 4 mois,AS2E AUTOMATION-page7.pdf
Conception cellule robotisée,"programmation, simulation, communication, mécatronique",Robotique,AS2E AUTOMATION-page8.pdf
Étude programmation robots,"programmation, simulation, mécatronique",Robotique,AS2E AUTOMATION-page8.pdf
Intégration robots,"programmation, communication, mécatronique",Robotique,AS2E AUTOMATION-page8.pdf
Simulation 3D,"programmation, simulation, mécatronique",Robotique,AS2E AUTOMATION-page8.pdf
Développeur Web/Mobile,digital,"France, Tunisie",ATS-page1.pdf
Conseiller Digital,digital,"France, Tunisie",ATS-page1.pdf
Ops & Cybersecurity QA,Cybersecurity,"France, Tunisie",ATS-page1.pdf
Développeur Full-Stack,"Tech.Backend (définir), ReactJS, Typescript, MongoDB",Non-spécifié,ATS-page6.pdf
Presentation Internship Opportunities,Varied FinTech projects,Axefinance,AxeFinance-page1.pdf
INTERNSHIP,AI,,AxeFinance-page10.pdf
FIELD,PRODUCT,,AxeFinance-page10.pdf
DEPARTMENT,RULEBASEDINFORMATIONEXTRACTIONFROMSEMISTRUCTUREDDOCUMENTS,,AxeFinance-page10.pdf
KEYRESPONSIBILITIES,"Exploringdifferentstateoftheartmodelsforinformationextraction, Datapreprocessing, Modelingandevaluationforthechosenapproach, Modeldeployment",,AxeFinance-page10.pdf
CANDIDATEPROFILE&REQUIREMENTS,"InternshiprecommendedtoIT/Engineeringstudentsfairknowledgeofthebelowtechnologies: ComputerVision, Python, Pytorch, Tensorflow, Virtualenvironments, GraphNeuralNetwork(GNN)",,AxeFinance-page10.pdf
Internship,"['Natural Language Processing (NLP)', 'Python', 'Pytorch', 'Tensorflow', 'Spacy', 'Transformers']",,AxeFinance-page11.pdf
"AI - Product - Text segmentation into coherent parts such as paragraph, topic","['Natural Language Processing (NLP)', 'Python', 'Pytorch', 'Tensorflow', 'Spacy', 'Transformers']",,AxeFinance-page11.pdf
Document-Level Sentiment Modeling Internship,"NaturallanguageProcessing(NLP), Python, Pytorch, Tensorflow, Spacy, Transformers",,AxeFinance-page12.pdf
News Articles Recommendation Modeling Intern,"NLP, Python, Pytorch, Tensorflow, Spacy, Transformers",AI Product Department,AxeFinance-page13.pdf
Internship: Collateral Management and Analysis,"['Design and implementation of data model', 'Design implementation of ODS, Datawarehouse, DataMart’s', 'Dashboard design and implementation', 'Fair knowledge of SQL server, TransactSQL, database design, Datawarehouse, Cube, ETL and dashboarding tools, Analytics knowledge, R/Python, DAX, MDX', 'Sensitivity to credit risk management']","BI Department, Product",AxeFinance-page14.pdf
Benchmarking Peer Analysis Intern,"C#, Angular, Dotnet, RestAPIs",R&D- Product Department,AxeFinance-page17.pdf
Covenant Management Intern,"C#, Angular, Dotnet, RestAPIs","R&D Department, Product",AxeFinance-page18.pdf
Software Engineer,"['software engineering', 'credit and risk management', 'credit automation']",Global,AxeFinance-page2.pdf
Digitalization Specialist,"['digitalization', 'credit and risk management']",Global,AxeFinance-page2.pdf
Research and Development Specialist,"['research and development', 'software engineering']",Global,AxeFinance-page2.pdf
Marketing Specialist,"['value creation', 'marketing', 'sales']",Global,AxeFinance-page2.pdf
Software Engineer Intern - Counterparty Structure,"C#, Angular, Dotnet, Rest APIs, NoSQL database",R&D - Product,AxeFinance-page20.pdf
Loan Origination Process Automation Intern,"C#, Angular, Dotnet, RestAPIs, NoSQL database",R&D-Department: Product,AxeFinance-page21.pdf
Advanced Loan Servicing Features Intern,"C#, Angular, Dotnet, RestAPIs, NoSQL database, Message broker",R&D Department: PRODUCT,AxeFinance-page22.pdf
DOCUMENT MANAGEMENT CAPABILITIES INTERNSHIP,"document management capabilities, credit application processing, document attach and manage, loan documents lifecycle, user stories, data model design, clean architecture approach, C#, Angular, Dotnet, RestAPIs, NoSQL database",R&D - PRODUCT,AxeFinance-page23.pdf
FRR Internship,"['C#', 'Angular', 'Dotnet', 'RestAPIs', 'UX/UI design', 'clean architecture approach']",R&D Department,AxeFinance-page24.pdf
axe IAM Internship,"C#, Angular, Dotnet, Identity and Access Management, Identity Federation, MFA, Single Sign On",R&D-PRODUCT,AxeFinance-page25.pdf
RESTITUTION OF DASHBOARD ANALYZING AZURE DEVOPS BOARD,"['Design and implement data model', ""Design implement ODS, Datawarehouse, DataMart's"", 'Design and implement dashboards']",Not Specified,AxeFinance-page27.pdf
INTERNSHIP,"['SQL server', 'Odatasource', 'TransactSQL', 'Database design, Datawarehouse, Cube', 'ETL and dashboarding tools', 'Analytic Techniques', 'R/Python, DAX, MDX']",Not Specified,AxeFinance-page27.pdf
PRODUCT MANAGEMENT,['Not Specified'],Not Specified,AxeFinance-page27.pdf
Automate On-Premises Deployment of .NET Containerized Applications Using CI/CD Pipelines,"['Docker', 'AzureDevOps', 'Security & Infrastructure basics', 'YAML', 'GIT', '.NET basics', 'IIS web-site creation and configuration']",Product Management Department,AxeFinance-page28.pdf
UX/UI Mobile Application,"▪ Understanding of design methods and best practices, Able to participate in user research and user testing to guide and validate design decisions, Prototyping skills using Adobe XD or other UX/UI Design Software, UI design skills including color psychology, branding, typography, and style guides, Basic understanding of HTML, JavaScript, and CSS is a plus","Product, Omni-Channels",AxeFinance-page29.pdf
Software Developer,"['Python', 'AI', 'Digitallending']",Remote,AxeFinance-page3.pdf
Corporate Lending Manager,['Corporate Lending'],"Head Office, Anywhere",AxeFinance-page3.pdf
Retail Lending Manager,['Retail Lending'],"Head Office, Anywhere",AxeFinance-page3.pdf
Commercial Lending Manager,['Commercial Lending'],"Head Office, Anywhere",AxeFinance-page3.pdf
Credit Risk Manager,"['KYC', 'Scoring', 'Credit Administration', 'Credit Lifecycle']","Head Office, Anywhere",AxeFinance-page3.pdf
Underwriter,"['Loan Origination', 'Underwriting', 'Credit Administration', 'Credit Lifecycle']","Head Office, Anywhere",AxeFinance-page3.pdf
Loan Servicing Manager,['Loan Servicing'],"Head Office, Anywhere",AxeFinance-page3.pdf
Collections Specialist,"['Collection', 'Provisioning']","Head Office, Anywhere",AxeFinance-page3.pdf
Embedded Finance Specialist,['Embedded Finance'],Remote,AxeFinance-page3.pdf
Software Engineer Intern,"C#, Angular, Ionic, Dotnet, RestAPIs, Socket programming, Android/IOS","Omni-Channels, Product",AxeFinance-page30.pdf
